prod,Material,Size,Color,Gender,Wears,Price,Description
plastic laundry basket,Plastic,2-bushel,White,Laundry,Storage,$15,Lightweight plastic laundry basket for easy transport.
cotton tablecloth,Cotton,"60""x84""",Red,Dining Room,Table Linen,$20,Elegant red cotton tablecloth for special occasions.
non-slip bath mat,Rubber,"20""x32""",Grey,Bathroom,Mat,$15,Safe and comfortable non-slip bath mat for your bathroom.
stainless steel trash can,Stainless Steel,13-gallon,Silver,Kitchen,Waste Management,$50,Sleek stainless steel trash can with a foot pedal.
cotton dish towel,Cotton,"12""x12""",White/Blue,Kitchen,Towels,$15,Absorbent cotton dish towels for kitchen use.
stainless steel toaster,Stainless Steel,4-slice,Silver,Kitchen,Appliances,$40,Efficient stainless steel toaster with multiple settings.
wooden spice rack,Wood,3-tier,Brown,Kitchen,Storage,$25,Compact wooden spice rack to organize your spices.
glass baking dish,Glass,"9""x13""",Clear,Kitchen,Cookware,$20,Versatile glass baking dish for casseroles and more.
memory foam mattress,Memory Foam,Queen,White,Bedroom,Bedding,$300,Comfortable memory foam mattress for restful sleep.
cotton throw blanket,Cotton,"50""x60""",Grey,Living Room,Blankets,$30,Soft cotton throw blanket for cozy evenings.
stainless steel mixing bowl,Stainless Steel,3-piece set,Silver,Kitchen,Cookware,$30,Durable stainless steel mixing bowls in various sizes.
wooden coffee table,Wood,"40""x20""x18""",Brown,Living Room,Furniture,$150,Stylish wooden coffee table for your living room.
ceramic floor vase,Ceramic,24-inch,White,Living Room,Decor,$50,Elegant white ceramic floor vase for large floral arrangements.
cotton oven mitt,Cotton,One Size,Red,Kitchen,Gloves,$10,Heat-resistant cotton oven mitts for safe handling.
plastic food container,Plastic,20-piece set,Clear,Kitchen,Storage,$25,Versatile plastic food containers with lids for storage.
bamboo bath mat,Bamboo,"24""x17""",Natural,Bathroom,Mat,$30,Stylish and durable bamboo bath mat for your bathroom.
cotton curtain,Cotton,"84""x50""",White,Bedroom,Window Coverings,$40,Light-filtering white cotton curtains for a fresh look.
stainless steel knife set,Stainless Steel,15-piece set,Silver,Kitchen,Cookware,$50,Complete stainless steel knife set with a wooden block.
wooden hanger,Wood,Standard,Natural,Closet,Hangers,$20,Durable wooden hangers for your wardrobe.
cotton duvet cover,Cotton,Queen,White,Bedroom,Bedding,$50,Soft and breathable white cotton duvet cover.
silicone baking mat,Silicone,2-pack,Red/White,Kitchen,Cookware,$15,Non-stick silicone baking mats for easy cleanup.
glass storage jar,Glass,3-piece set,Clear,Kitchen,Storage,$25,Airtight glass storage jars for pantry items.
ceramic planter,Ceramic,3-piece set,White,Living Room,Decor,$30,Stylish white ceramic planters for indoor plants.
wool throw pillow,Wool,"18""x18""",Grey,Living Room,Decor,$20,Cozy grey wool throw pillow for comfort and style.
plastic laundry hamper,Plastic,30-gallon,White,Laundry,Storage,$25,Large plastic laundry hamper with a lid.
cotton apron,Cotton,One Size,Blue,Kitchen,Apparel,$20,Durable blue cotton apron for cooking and baking.
wooden nightstand,Wood,"20""x15""x25""",Brown,Bedroom,Furniture,$70,Classic wooden nightstand with a drawer and shelf.
stainless steel sink strainer,Stainless Steel,Standard,Silver,Kitchen,Accessory,$10,Effective stainless steel sink strainer to catch debris.
bamboo dish rack,Bamboo,Foldable,Natural,Kitchen,Storage,$20,Space-saving bamboo dish rack for drying dishes.
cotton bathrobe,Cotton,One Size,White,Bathroom,Apparel,$40,Luxurious white cotton bathrobe for post-shower comfort.
ceramic baking sheet,Ceramic,"11""x17""",White,Kitchen,Cookware,$30,Durable ceramic baking sheet for even heat distribution.
metal bookshelf,Metal,5-shelf,Black,Office,Furniture,$80,Sturdy black metal bookshelf for organizing your books.
plastic shower caddy,Plastic,3-tier,Clear,Bathroom,Storage,$15,Convenient plastic shower caddy for organizing toiletries.
wool rug runner,Wool,2.5'x8',Beige,Hallway,Rugs,$70,Elegant beige wool rug runner for your hallway.
 t-shirt,Cotton,"S, M, L, XL",Black,Unisex,Casual,$25,Retro-style graphic tee with a comfortable fit.
 t-shirt,Polyester,"S, M, L, XL",Blue,Unisex,Activewear,$30,Lightweight and moisture-wicking tee for sports activities.
 t-shirt,Organic Cotton,"S, M, L, XL",Green,Unisex,Casual,$28,Sustainable and eco-friendly tee made from organic cotton.
 t-shirt,Cotton,"S, M, L, XL",Gray,Unisex,Casual,$22,Classic V-neck tee with a soft and comfortable feel.
